32        0.045     0.046    0.057    0.057
64        0.089     0.091    0.103    0.104
128       0.170     0.179    0.192    0.200
256       0.364     0.351    0.361    0.379
512       0.709     0.699    0.731    0.790
1024      1.399     1.407    1.395    1.427
2048      2.670     2.684    2.745    2.835
4096      5.171     5.199    5.305    5.451
8192      8.442     8.500   10.083    9.941
16384    12.305    12.259   13.519   15.385
32768    11.418    11.150   11.988   24.680
65536    10.778    10.659   11.589   35.273
131072   10.421    10.339   10.939   40.338
262144   10.300     9.719   10.508   36.562
524288    9.833     9.808   10.612   35.979
